name;price;quantity;nds;productType;paymentType;sum 
Пакет майка белый большой ПНД 35 мкм;799;1;1;1;4;799 
Вафли КОРОВКА с шоколадной начинкой 300 гр;9499;2;1;1;4;18998 
Сухари Агеевские ванильные ЛЮКС 500 гр;12899;1;2;1;4;12899 
Масса творожная с курагой 4,5% 200 гр флоу-пак Серышевский БЗМЖ;8999;1;2;1;4;8999 
Рулетики СЛОЕНЫЕ С ДЖЕМОМ 300 гр;8999;1;2;1;4;8999 
Хлеб ДАРНИЦА 600 гр Колобок;4099;1;2;1;4;4099 
Салфетки влажные детские АУРА УЛЬТРА КОМФОРТ 60 шт;5999;1;1;1;4;5999 
Бумага туалетная 4 шт ПАПИЯ Секрет сада 3 слоя;11299;1;1;1;4;11299 
Картофель 1 кг Россия;4999;1.96;2;1;4;9798 
Батон НАРЕЗНОЙ 350 гр Колобок;3499;1;2;1;4;3499 
Пельмени ДОМАШНИЕ СЕКРЕТЫ 950 г Сибирский гурман 1/6;33799;1;2;1;4;33799 
Картофель 1 кг Россия;4999;2.224;2;1;4;11118 
Дрожжи хлебопекарные РЕЛИШ быстродействующие 100 гр;3289;1;1;1;4;3289 
ПРД Масло подсолнечное СКАЗКА 0,9 л 1/15;10590;1;2;1;4;10590 
Кетчуп ОТТОГИ томатный 300 гр 1/30;8898;1;1;1;4;8898 
Дрожжи хлебопекарные РЕЛИШ быстродействующие 10 гр;799;5;1;1;4;3995 
Чиабата 350 гр Колобок;4199;1;2;1;4;4199 
name;price;quantity;nds;productType;paymentType;sum 
Пакет майка белый большой ПНД 35 мкм;799;1;1;1;4;799 
Вафли КОРОВКА с шоколадной начинкой 300 гр;9499;2;1;1;4;18998 
Сухари Агеевские ванильные ЛЮКС 500 гр;12899;1;2;1;4;12899 
Масса творожная с курагой 4,5% 200 гр флоу-пак Серышевский БЗМЖ;8999;1;2;1;4;8999 
Рулетики СЛОЕНЫЕ С ДЖЕМОМ 300 гр;8999;1;2;1;4;8999 
Хлеб ДАРНИЦА 600 гр Колобок;4099;1;2;1;4;4099 
Салфетки влажные детские АУРА УЛЬТРА КОМФОРТ 60 шт;5999;1;1;1;4;5999 
Бумага туалетная 4 шт ПАПИЯ Секрет сада 3 слоя;11299;1;1;1;4;11299 
Картофель 1 кг Россия;4999;1.96;2;1;4;9798 
Батон НАРЕЗНОЙ 350 гр Колобок;3499;1;2;1;4;3499 
Пельмени ДОМАШНИЕ СЕКРЕТЫ 950 г Сибирский гурман 1/6;33799;1;2;1;4;33799 
Картофель 1 кг Россия;4999;2.224;2;1;4;11118 
Дрожжи хлебопекарные РЕЛИШ быстродействующие 100 гр;3289;1;1;1;4;3289 
ПРД Масло подсолнечное СКАЗКА 0,9 л 1/15;10590;1;2;1;4;10590 
Кетчуп ОТТОГИ томатный 300 гр 1/30;8898;1;1;1;4;8898 
Дрожжи хлебопекарные РЕЛИШ быстродействующие 10 гр;799;5;1;1;4;3995 
Чиабата 350 гр Колобок;4199;1;2;1;4;4199 
